log(L),logg,age(Gyrs),Radius,Mbol,teff,Gaia_G,Gaia_BP,Gaia_RP,SDSS_u,SDSS_g,SDSS_r,SDSS_i,SDSS_z
1.1612,6.5874,0.0,0.0461,1.8369,52480.74602497723,18386673685.235264,30104377692.525078,9167076860.384474,27071580975.3121,40024480291.45231,18452602110.73871,10306201003.787004,6221566038.05523
1.2893,6.5394,0.0,0.0488,1.5168,54954.08738576248,16408367535.020342,26865310281.145542,8180749216.632664,24158826006.341976,35718063759.82489,16467202420.284794,9197309793.762676,5552159348.854205
1.4268,6.4818,0.0,0.0522,1.1729,57543.993733715666,14340490738.024557,23479589449.63052,7149764174.945203,21114191880.82347,31216668046.63663,14391910912.847364,8038211944.649294,4852444312.229472
1.5804,6.4083,0.0,0.0569,0.789,60255.95860743581,12069255649.259438,19760911448.856174,6017390425.177119,17770143594.97995,26272597922.602592,12112531939.227709,6765126570.296665,4083918186.481806
1.7693,6.2994,0.0,0.0649,0.3167,63095.7344480193,9277172367.25431,15189452189.318453,4625336457.999312,13659225548.976147,20194734998.301846,9310437185.990301,5200092458.293826,3139150752.1908436
-5.0419,7.6352,22.9733,0.0159,17.3448,2511.88643150958,26658.19685854011,28636.32325319232,23203.76587472149,298.86924148958775,20448.116158282977,38842.32514700462,16878.980462098032,10468.08685527933
-4.9614,7.6347,21.639,0.0159,17.1435,2630.2679918953813,31277.40910753505,31634.22914803716,28639.041237429574,366.16870268764984,22945.276926087987,42790.28897318497,21602.60926595302,13600.2633322931
-4.8808,7.6341,20.3457,0.0159,16.9421,2754.2287033381663,36545.23599220585,34865.60905839414,34997.61705690957,453.1909424195895,25747.395463694225,46914.29770026808,27136.023737084648,17448.066885043474
-4.8002,7.6334,19.0821,0.0159,16.7404,2884.031503126606,42578.54050165684,38583.112226886165,42293.97213297147,563.535424323922,29094.66114939864,51492.6472262251,33424.599369819094,22020.50717467383
-4.7194,7.6327,17.8409,0.016,16.5385,3019.9517204020162,48639.04665838339,42199.911435679205,49754.54489828847,700.1571121349684,32578.237637840088,55715.94522047176,39761.29254203788,26961.347917647927
-4.6385,7.6318,16.632,0.016,16.3363,3162.2776601683795,56015.092055492954,47014.46944781209,58553.4862822851,898.8257477019729,37246.681639135706,61254.71206020241,47013.27371140412,32877.71305077239
-4.5575,7.6308,15.4494,0.016,16.1338,3311.311214825911,64189.65685369861,52751.10233966108,68050.72526179162,1200.149931551094,42986.054688849516,67617.56119157774,54633.6849335121,39400.48798610758
-4.4764,7.6297,14.2851,0.016,15.931,3467.368504525317,73165.28253891003,59790.411101801874,77909.91995065035,1622.6897941697246,50244.39103090221,75186.43667600423,62428.15411005232,46066.11640861175
-4.395,7.6283,13.1313,0.016,15.7276,3630.780547701014,83096.94432656918,68389.83241380428,88217.09618275937,2259.204293340364,59386.480365275966,84120.04623549792,70524.57762131603,52827.68757209361
-4.3133,7.6266,11.9394,0.0161,15.5232,3801.8939632056126,93664.1221821787,78570.54267520129,98396.799223578,3254.645697500202,70722.20619521747,94129.92571784307,78568.5443614997,59152.05185737467
-4.2311,7.6244,10.7303,0.0161,15.3178,3981.0717055349733,109509.87097611671,94846.16006475488,112881.03203439753,5140.717256012444,89074.99366393911,109882.2935971513,90208.75874439412,67516.48340202954
-4.1483,7.6216,9.4965,0.0162,15.1108,4168.693834703355,126088.35833233997,113157.01322285633,127081.60592624228,8135.147674156065,110483.5252700055,126645.40551953258,101772.49698021244,75230.08230291757
